timestamp,tollID,tagRef,tagHomeID,charge
2022-03-08 15:47,NAO09,NAO5UQPGB7,NAO,2.5
2022-03-08 16:15,EG32,EGC11ERTJ,EG,1.4
2022-03-08 17:24,NO05,EGVWPVS7H,EG,3.25
2022-03-08 17:43,NAO07,NAOP0J43D5,NAO,2.5
2022-03-08 18:14,AM04,AMNT3W5UZ,AM,2.2
2022-03-08 18:32,NAO24,AMLJH75LX,AM,2.5
2022-03-08 18:40,OO10,OO1B0Z3NX,OO,2.5
2022-03-08 19:26,EG07,AMH9SDBDW,AM,1.8
2022-03-08 19:42,EG05,EG7UR23GD,EG,1.7
2022-03-08 19:59,NAO26,EGF1T2TAL,EG,2.5
2022-03-08 20:13,EG29,EGF1T2TAL,EG,1.5
2022-03-08 21:28,KO02,KOWM31YIH,KO,3.4
2022-03-08 21:29,KO02,AMHJ7XVG0,AM,3.4
2022-03-08 21:39,NAO41,NAOP0J43D5,NAO,2.5
2022-03-08 21:44,AM05,AMLJH75LX,AM,3.6
2022-03-08 21:54,NAO04,NAO5UQPGB7,NAO,2.5
2022-03-08 21:55,NAO24,AMLJH75LX,AM,2.5
2022-03-08 22:00,EG23,EG7UR23GD,EG,1.4
2022-03-08 22:08,NO10,AMV3A3ZMF,AM,4.2
2022-03-08 22:31,NO09,EG7UR23GD,EG,4.2
2022-03-08 22:51,AM09,AMXAJI0Y6,AM,3.1
2022-03-08 23:21,NAO26,NAO09SKDGI,NAO,2.5
2022-03-08 23:28,NO10,NAOP0J43D5,NAO,4.2
2022-03-08 23:33,NAO30,NAOBMYOFQE,NAO,2.5
2022-03-09 00:10,OO07,OO7PZE9VI,OO,1.9
2022-03-09 00:39,OO06,KOIXA11DP,KO,3.5
2022-03-09 02:05,AM05,AMHJ7XVG0,AM,3.6
2022-03-09 02:08,AM06,AMNT3W5UZ,AM,3.6
2022-03-09 02:23,OO08,OO3KKV9RF,OO,1.9
2022-03-09 02:34,KO06,EGC11ERTJ,EG,1.9
2022-03-09 02:43,EG26,KOWM31YIH,KO,1.8
2022-03-09 03:12,AM01,NAO5UQPGB7,NAO,2.0
2022-03-09 03:18,AM04,AMLJH75LX,AM,2.2
2022-03-09 03:40,EG36,MOJCKJLTE,MO,1.0
2022-03-09 03:49,NO05,NAOVZ41NAM,NAO,3.25
2022-03-09 04:33,NO10,KOWKTAKPU,KO,4.2
2022-03-09 05:06,KO09,EGC11ERTJ,EG,2.05
2022-03-09 05:48,NAO32,NAO09SKDGI,NAO,2.5
2022-03-09 06:00,EG31,EGUT0CVS4,EG,1.4
2022-03-09 06:24,MO05,MOJCKJLTE,MO,2.6
2022-03-09 06:47,EG30,EGUT0CVS4,EG,1.5
2022-03-09 07:07,MO09,MOJCKJLTE,MO,2.7
2022-03-09 07:52,KO05,OO7PZE9VI,OO,1.9
2022-03-09 08:32,AM08,KOIXA11DP,KO,2.8
2022-03-09 09:14,EG33,EGVWPVS7H,EG,2.0
2022-03-09 10:01,KO03,NAOBMYOFQE,NAO,2.95
2022-03-09 10:14,NAO39,NAOP0J43D5,NAO,2.5
2022-03-09 10:21,KO09,KOWM31YIH,KO,2.05
2022-03-09 10:42,EG38,EG7UR23GD,EG,1.4
2022-03-09 10:49,AM04,MOJCKJLTE,MO,2.2
2022-03-09 11:17,OO05,OO3KKV9RF,OO,3.5
2022-03-09 11:33,EG03,EGC11ERTJ,EG,1.2
2022-03-09 11:56,KO04,KOWKTAKPU,KO,2.95
2022-03-09 12:14,NAO29,NO7PTX63C,NO,2.5
2022-03-09 12:17,OO08,OO1B0Z3NX,OO,1.9
2022-03-09 12:36,AM05,NAOURTP0LZ,NAO,3.6
